Years,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$
2017,0.06653260280948084,0.07606801639275086,0.08048669694395055,0.12584930897714003,0.08813992809222052,0.08919216253088756,0.09534679511472846,0.09541375014482088,0.11556920301829153,0.16740153597572888
2018,0.06644275168390888,0.07632114523729026,0.07257775514891342,0.12463660827548916,0.08715939105844972,0.08883284593880554,0.09652844889602166,0.09585422750947824,0.11843007092295996,0.1732167553286831
2019,0.06643367199718456,0.07886292577107434,0.07618276556452709,0.11925856555828039,0.08608484870281313,0.09357520563268792,0.09250187918715773,0.09405903751484557,0.11849793505615971,0.17454316501526956
2020,0.06515261902079644,0.0755330192176341,0.0723816421631669,0.11604856784684951,0.08561648624505218,0.09547465642069866,0.09372362439162579,0.09897477762493798,0.12009934504935522,0.17699526201988322
2021,0.06458767311747936,0.07598163768221272,0.07685922429313624,0.1149423816448962,0.08470944370934347,0.08898849063977307,0.09384147622023861,0.08220598268607605,0.11688767959755188,0.2009960104092925
2022,0.06469925114815483,0.07243174965829513,0.07791349179689515,0.1122766357383138,0.08813584785975828,0.08772749652262599,0.09095596175885493,0.08777997279991111,0.11794201513802476,0.20013757757916603
